APO1/ALC3 K1K2,,APO1/ALC2 Y2Y3,,APO1/ALC2 J2J3,,APO1/ALC2 H2H3,
X,Y,X,Y,X,Y,X,Y
0.9804071820299001,0.00006558298135389155,0.8308882377983122,0.0000708518299107635,0.7946961159942905,0.00014817253210861118,1.088738637217339,0.000047767620671480966
1.0144542108030952,0.00006803557271826303,0.8572188415596123,0.0000626450295480863,0.8287431447674856,0.00013014548104039187,1.1227856659905342,0.00004307469099387151
1.0485012395762903,0.00007403026276224059,0.890646833446022,0.00005435086631615732,0.8627901735406807,0.00011452168460999056,1.1568326947637293,0.00003927301095207044
1.0825482683494854,0.0000836167290009531,0.9246938622192171,0.00004704244712485854,0.8952896100969123,0.00009981001403215908,1.1908797235369244,0.00003574118786670431
1.1165952971226805,0.00009358167958570856,0.9587408909924122,0.00004154732136895563,0.927789046653144,0.00008786557900541235,1.2249267523101195,0.000032387955117895595
1.1506423258958756,0.00009912225246929785,0.9927879197656075,0.00003755731901702817,0.9618360754263391,0.00007722286565950938,1.2589737810833146,0.000029331368565768455
1.1846893546690707,0.00010028139747753061,1.0268349485388026,0.000034600655773070145,0.9958831041995342,0.00006762052891492007,1.2930208098565097,0.000026890327315999586
1.2187363834422658,0.00009881944755567224,1.0608819773119977,0.000032190375829038906,1.0299301329727293,0.00006005143926245572,1.3270678386297048,0.000024712850546016525
1.2527834122154609,0.00009432907193588068,1.0949290060851928,0.000029170279719503948,1.0639771617459244,0.000053427582352605234,1.3611148674028999,0.00002279523563173647
1.286830440988656,0.00008840488363195883,1.128976034858388,0.000026272273621990634,1.0980241905191195,0.00004770919767385561,1.395161896176095,0.000020757957458380254
1.320877469761851,0.00008325933489967945,1.163023063631583,0.000023203354884341875,1.1320712192923146,0.00004325959086718853,1.42920892494929,0.000018879637572564032
1.3549244985350462,0.00007793492757947779,1.1970700924047781,0.000020656590130579027,1.1661182480655097,0.00003980527770674809,1.4632559537224852,0.000017393356551154054
1.3889715273082415,0.00007344370285091929,1.2311171211779732,0.000018810449082122253,1.2001652768387048,0.00003678401624603103,1.4973029824956803,0.0000161817362070316
1.4230185560814366,0.00006887331837490149,1.2651641499511683,0.000017213361165235515,1.2342123056118999,0.00003445276586609511,1.5313500112688754,0.000015202632768524148
1.4570655848546317,0.00006446889212091136,1.2992111787243634,0.000015809811324128313,1.2682593343850952,0.00003162418562982336,1.5653970400420705,0.000014379233047790046
1.4911126136278265,0.00006030921252225001,1.3332582074975585,0.000014502944890458588,1.3023063631582903,0.000028745021503830658,1.5994440688152656,0.000013658810419267005
1.5251596424010216,0.000057287624286978316,1.3673052362707536,0.000013320398042042961,1.3363533919314854,0.000026530756221981562,1.6334910975884607,0.000013222946012573595
1.5592066711742167,0.00005375551215940897,1.4013522650439487,0.000012271762720976978,1.3704004207046805,0.000023894981246826447,1.6675381263616558,0.000012660769598040705
1.5932536999474118,0.00005084402476285644,1.4353992938171438,0.000011368114250435645,1.4044474494778756,0.000021573805129727426,1.7015851551348509,0.000011778821023473311
1.627300728720607,0.00004741815276799454,1.469446322590339,0.00001051169292178184,1.4384944782510707,0.000019887594050120596,1.735632183908046,0.000011025569259496418
1.661347757493802,0.000044685545105313396,,,1.4725415070242658,0.0000183893543821406,1.761941251596424,0.000010377481170037842
1.6953947862669971,0.00004249870641833468,,,1.5065885357974609,0.000017024807664326788,0.07080610021786493,0.0010993912177471275
1.7294418150401922,0.00004051793979324178,,,1.540635564570656,0.000015916585876478762,0.11111111111111116,0.0014817737367860749
1.7634888438133873,0.00003797327461106661,,,1.574682593343851,0.000014880503260789107,,
1.7975358725865824,0.00003600459749493256,,,1.6071820299000827,0.00001384223401300364,,
1.8315829013597775,0.00003432650629926519,,,1.6582525730598752,0.000012491472782796326,,
1.8656299301329726,0.0000326666051400897,,,1.690236145543786,0.000011802068268004515,,
1.8996769589061677,0.0000312013145025694,,,1.7263466306062654,0.000010978443840174083,,
1.9337239876793628,0.000029856508836759515,,,1.7542032905116072,0.000010447567452773232,,
1.967771016452558,0.00002870986441835207,,,0.12200435729847492,0.0013287913432286898,,
1.9909848997070094,0.00002805428137957387,,,,,,
0.13725490196078427,0.0013671068807246803,,,,,,
