APO1/ALC3 K1K2,,APO1/ALC2 Y2Y3,,APO1/ALC2 J2J3,,APO1/ALC2 H2H3,
X,Y,X,Y,X,Y,X,Y
0.0054240853429494695,0.009214281435863376,-0.0007662835249042654,0.0021443215520696914,-0.0007662835249042654,0.003879082444120612,0.002328900909022602,0.005399543339099871
0.017804823078656717,0.00775580339683821,0.006638118849072172,0.0018000556725674653,0.0054240853429494695,0.0032841863698232798,0.012646182355445346,0.004536728837043907
0.025026920091152705,0.0064379969803284014,0.01006686199383966,0.0014958812526089265,0.011614454210803093,0.002713956932538318,0.017804823078656717,0.003887141401669435
0.030185560814364076,0.005401360857248121,0.013590263691683369,0.0012536096846700621,0.013162046427766527,0.002293623913932833,0.02399519194651034,0.0031630527033426246
0.0363759296822177,0.004347394320120712,0.015741366789372213,0.0010226679342348155,0.016773094934014465,0.0019039089925781704,0.030185560814364076,0.002428676445576361
0.04050284226078682,0.0034349149849114626,0.01935241529562015,0.0008356756475427528,0.019868279367941222,0.001569809426009258,0.03328074524829083,0.00199576220260611
0.04359802669471369,0.0029422644777914826,0.021015200460771877,0.0007119752203439993,0.02296346380186809,0.0012885428340107343,0.0363759296822177,0.001721066847574837
0.046693211128640444,0.002492156865086004,0.02296346380186809,0.000592861201270919,0.02709037638043721,0.0010281896377027744,0.03947111411614457,0.0014742239245419154
0.04978839556256731,0.002087358244660311,0.026058648235794957,0.00047797994823089816,0.028637968597400643,0.0008470015518749569,0.042566298550071324,0.0012571304646250487
0.05288357999649418,0.0017056899843695375,0.029153832669721713,0.00038970715157361676,0.03224901710364858,0.0007142151406284173,0.04673900211425541,0.0010865349648551525
0.055978764430420935,0.0013751711339503783,0.034458718353241435,0.0002744652078128806,0.03697908282086759,0.0005771120078598398,0.05701049257506319,0.0009029316753923926
0.0590739488643478,0.001121206083061833,0.0471539829213935,0.0002877267105801616,0.05824506047629796,0.0004747928674633018,0.07970851175719329,0.001338640094112575
0.06529186387198549,0.0009306993753890914,0.06732777402148593,0.00040850839311531924,0.047209075200961625,0.0003972106277478418,0.09655923672150846,0.0015959766610841447
0.08904214559386991,0.0008258061334561418,0.07661332732326642,0.0004943400834931265,0.06732777402148593,0.0006427347581852547,0.12103523401697847,0.001212497910925053
0.07396439035384261,0.0006624140855190888,0.08435128840808348,0.0005869055076444865,0.07351814288933967,0.0008681658831567399,0.13077905491698594,0.0010209484906441007
0.09827961836075427,0.001052935983569471,0.0954338517015999,0.0007791617834063311,0.08280369619112016,0.0010600471859737483,0.14579670948839307,0.0008724617921312462
0.11478726867503075,0.001308939969520958,0.10727969348659017,0.0008215341270338698,0.09713269726792373,0.0012627842914725961,0.1608143640598002,0.0007415670398076144
0.12498768771024782,0.0014127144802139307,0.12458868604913231,0.0005968652015764142,0.10876718503493332,0.0014184576561897474,0.16946886034107134,0.000617294500895872
0.15708812260536398,0.0011389543424191989,0.13232664713394937,0.0005010398700786042,0.13232664713394937,0.001116186140149288,0.17875441364285183,0.0005089711377526537
0.17101645255803466,0.0009805380539119602,0.14161220043572986,0.0004094259767575096,0.138517016001803,0.0009271265230274578,0.1880399669446322,0.0004234396699770994
0.18339719029374202,0.0008498569315271134,0.15089775373751035,0.0003375795587249418,0.14470738486965662,0.000786554244277652,0.20042070468033957,0.000358822849585863
0.19577792802944938,0.0007218675170320052,0.16018330703929085,0.00028401846619249436,0.1539929381714371,0.0006398570608174457,0.21589662684997368,0.00031194419783581
0.20815866576515663,0.0006029219623846996,0.17101645255803466,0.00024138032013550014,0.1632784914732176,0.0005299471170923458,0.2313725490196078,0.0002700970218945858
